293 | 381.760367 157.155399 54.622242 36.556459 0.431525
297 | 380.692499 156.053496 54.446896 35.846230 0.414591
304 | 376.013883 155.759659 54.840690 37.063296 0.371183
315 | 367.913836 154.995053 56.398971 38.320991 0.347232
322 | 367.414165 153.998700 56.774552 39.762767 0.338153
327 | 366.841192 153.619102 56.726006 39.003990 0.318233
330 | 365.135229 153.191612 56.164840 37.984008 0.324462
332 | 363.411591 152.774736 56.159872 37.949543 0.315669
333 | 363.628441 153.245003 54.938211 37.953036 0.311777
337 | 360.040707 151.476786 56.384513 38.918042 0.296305
340 | 362.347913 148.413160 56.592487 37.687805 0.291842
349 | 373.840151 146.562875 57.774806 36.556801 0.354245
353 | 379.391351 146.184593 56.575157 34.645417 0.374408
359 | 387.248480 143.869897 54.531083 31.753481 0.412474
364 | 398.530770 143.100678 53.388579 28.581848 0.474323
370 | 413.761519 142.060822 52.633738 23.706703 0.527991
371 | 415.851023 141.937286 52.358639 22.856032 0.528244
377 | 434.101608 143.715306 50.813492 17.466237 0.594892
379 | 431.057532 143.382636 51.519908 17.631831 0.578300
385 | 435.026577 142.407944 49.209361 16.643348 0.579762
389 | 434.963908 141.645770 50.551235 14.994350 0.591265
390 | 434.420748 141.103138 48.399194 15.823378 0.588907
391 | 435.690354 142.060163 48.251465 15.767440 0.591459
400 | 426.391533 138.338619 50.124268 15.099613 0.551509
412 | 421.199573 136.317181 48.976409 17.116925 0.551972
416 | 420.397509 135.661964 48.502228 17.404651 0.546112
426 | 419.893100 134.296071 46.908326 15.927800 0.530652
428 | 419.170325 133.810145 48.397000 16.312101 0.521026
435 | 411.678867 132.306854 48.526609 17.553832 0.468447
443 | 400.181797 131.346327 49.884231 19.416145 0.413577
444 | 398.469324 130.538501 48.136033 20.174771 0.407269
445 | 394.798866 129.878109 48.263122 20.364549 0.391923
449 | 378.882400 127.634483 49.314326 22.787510 0.319408
450 | 375.283527 126.446511 49.664806 22.875569 0.307602
466 | 303.856175 133.558794 49.810930 29.034622 -0.042339
468 | 301.691133 132.981679 51.118763 29.168023 -0.061442
476 | 286.090688 136.877577 50.540094 30.345049 -0.132235
480 | 279.026825 138.715161 50.851414 30.969489 -0.167735
484 | 278.348252 138.595414 50.650373 30.783044 -0.195263
487 | 277.574961 138.644072 50.760264 29.815824 -0.183421
488 | 278.128608 138.298850 49.776742 30.038315 -0.193205
490 | 277.985948 137.662673 48.676928 29.993436 -0.206002
498 | 277.822659 137.027626 49.218525 30.147191 -0.174214
500 | 277.595857 136.902832 48.798556 29.403270 -0.197941
503 | 281.379567 137.349508 50.078911 30.132399 -0.185689
507 | 325.566261 133.376679 48.762979 29.233722 0.042620
514 | 428.867474 158.581159 50.889546 25.250339 0.622556
518 | 420.531598 156.207025 53.020632 26.247338 0.595490
519 | 412.621113 155.628032 52.056001 28.984191 0.533500
522 | 373.536207 149.173836 51.270751 33.045191 0.344011
528 | 368.570078 147.514247 52.198584 33.123871 0.320598
544 | 300.413000 127.733446 52.534155 29.047849 -0.072011
546 | 303.685019 126.858037 51.875701 28.908717 -0.065275
554 | 425.266431 155.826377 51.636388 24.143205 0.607855
558 | 428.520701 157.641450 52.036363 24.998643 0.623248
562 | 424.346020 155.471616 48.233262 23.214184 0.637136
566 | 321.107535 171.653372 53.234759 42.132346 -0.093106
570 | 318.687618 167.738026 52.614360 41.063344 0.029650
576 | 309.394475 167.231927 53.863735 42.110506 -0.041690
577 | 312.210183 166.177547 54.100751 41.940684 -0.015588
582 | 388.013897 160.694612 48.314714 36.052925 0.530954
585 | 416.566452 164.079459 54.032827 32.397988 0.637771
591 | 432.324848 166.183227 54.380298 28.497514 0.685764
592 | 431.968893 165.338218 55.297093 28.578140 0.689860
596 | 391.427855 141.754947 53.283092 29.246597 0.444891
600 | 341.233708 134.198639 52.908475 31.616076 0.157334
612 | 414.157974 172.128370 51.238675 34.583048 0.579212
615 | 429.713417 189.392812 55.976034 37.431483 0.791196
621 | 431.169105 189.532572 55.723525 38.209450 0.788609
622 | 422.854321 179.639764 55.421612 37.611039 0.775068
627 | 413.002585 147.505944 54.835828 29.347213 0.550151
633 | 404.416184 144.222816 54.697523 27.829032 0.474130
639 | 369.284176 153.866280 53.191515 37.271746 0.366587
649 | 313.835063 171.293748 54.623467 44.132429 -0.006627
651 | 314.681343 170.908891 54.574165 43.569379 0.017001
666 | 312.586426 164.457407 54.078770 42.105246 -0.018084
668 | 311.514722 162.220921 54.212066 41.387565 0.022284
672 | 307.283696 159.062861 55.058842 41.275663 -0.049540
677 | 299.988676 147.278128 54.995801 37.405763 -0.055764
678 | 299.009136 145.763736 53.936475 36.906651 -0.057952
683 | 287.133411 138.075195 52.437835 32.360160 -0.149972
694 | 273.533514 125.212295 51.618101 25.786473 -0.193992
718 | 271.157547 125.888518 51.630791 24.479023 -0.219436
746 | 273.191111 133.738341 51.412339 30.536950 -0.158341
766 | 269.335585 125.126707 42.370746 21.605897 -0.222710
804 | 271.326302 131.415602 47.767674 27.794120 -0.228583
837 | 274.352630 134.328131 52.957569 30.459568 -0.188320
852 | 272.263842 126.511232 45.549818 23.503826 -0.213183
871 | 272.011223 132.704235 46.263205 24.770726 -0.136344
872 | 270.503512 124.688301 47.099810 28.306248 -0.131824
873 | 265.136040 130.165611 46.723125 24.231615 -0.174354
875 | 270.440754 130.388187 47.121399 24.852615 -0.222373
882 | 270.417825 128.618635 48.212066 25.186767 -0.253515
897 | 270.872922 127.855934 49.067828 25.053519 -0.201355
902 | 270.384678 127.524505 49.527174 25.667471 -0.215029
907 | 270.796615 127.675324 50.042943 25.667834 -0.226394
926 | 199.417091 202.050133 48.479455 34.730956 -0.775730
928 | 206.783511 197.463650 49.071550 34.434648 -0.736405
930 | 211.710708 193.025701 48.722663 35.354482 -0.722959
932 | 216.030966 190.110072 48.149150 35.765020 -0.635310
938 | 209.916520 191.283165 47.486897 34.114943 -0.674797
